Date,Open,High,Low,Close,Adj Close,Volume
2008-06-01,253.750000,264.350006,205.850006,214.550003,142.396729,114636996
2008-07-01,216.250000,235.750000,178.975006,208.438004,141.410004,121597892
2008-08-01,206.250000,415.000000,195.662994,203.050003,139.753632,61873084
2008-09-01,203.750000,425.250000,147.500000,166.399994,114.528481,107469804
2008-10-01,167.399994,335.500000,103.837997,134.375000,92.486549,171565524
2008-11-01,139.988007,265.000000,115.000000,139.850006,98.637604,135186208
2008-12-01,139.850006,262.600006,115.000000,119.474998,84.266899,134016912
2009-01-01,120.000000,243.500000,116.150002,127.900002,90.209152,137481176
2009-02-01,127.199997,238.149994,113.811996,120.775002,87.282364,84602404
2009-03-01,118.525002,230.550003,109.837997,134.636993,97.300217,121141496
2009-04-01,134.000000,286.500000,130.125000,155.524994,112.395699,130060828
2009-05-01,155.524994,197.899994,151.324997,176.149994,127.301079,215332188
2009-06-01,168.337006,202.199997,168.337006,194.925003,140.869507,144935598
2009-07-01,193.550003,272.500000,184.125000,262.975006,192.522888,184646676
2009-08-01,265.000000,283.000000,247.000000,263.524994,194.531403,140996556
2009-09-01,267.500000,311.399994,259.549988,310.500000,229.207855,121674000
2009-10-01,309.000000,328.950012,278.325012,314.149994,231.902222,114954720
2009-11-01,315.600006,355.825012,300.500000,344.200012,255.675903,77588592
2009-12-01,351.700012,378.500000,338.524994,375.125000,278.647400,69659822
2010-01-01,374.399994,414.500000,348.250000,368.100006,273.429199,111670096
2010-02-01,367.174988,742.500000,354.075012,380.899994,284.441711,54282810
2010-03-01,760.200012,828.299988,377.500000,390.325012,291.480011,74838560
2010-04-01,393.174988,820.700012,377.799988,382.700012,285.785950,93376066
2010-05-01,380.625000,421.500000,342.625000,371.524994,277.440887,63786312
2010-06-01,371.524994,397.000000,365.000000,375.500000,280.409210,54347776
2010-07-01,375.000000,429.899994,362.875000,419.899994,316.810730,78910160
2010-08-01,421.500000,442.500000,414.274994,421.875000,319.797852,55141156
2010-09-01,421.000000,876.000000,417.549988,463.475006,351.332367,70894688
2010-10-01,463.500000,536.474976,434.500000,526.450012,399.069824,74402284
2010-11-01,526.025024,1052.000000,499.475006,538.000000,407.825226,52248874
2010-12-01,532.000000,1143.000000,524.200012,582.825012,443.489136,56704742
2011-01-01,583.500000,1198.000000,543.900024,579.750000,441.149261,71709466
2011-02-01,582.500000,599.450012,527.950012,555.125000,423.837769,71496466
2011-03-01,556.500000,1119.849976,528.625000,591.950012,451.953583,71696100
2011-04-01,592.500000,1203.599976,570.000000,582.825012,444.986725,74530282
2011-05-01,585.000000,591.700012,554.049988,578.575012,441.741791,42229286
2011-06-01,578.500000,602.500000,529.000000,592.099976,452.068298,62408962
2011-07-01,599.000000,602.500000,556.049988,568.500000,440.019440,65778624
2011-08-01,571.200012,574.950012,451.000000,521.200012,405.530304,90908646
2011-09-01,536.500000,537.375000,484.500000,518.650024,403.546265,83728068
2011-10-01,510.000000,577.000000,507.649994,557.900024,434.085632,81270134
2011-11-01,554.000000,578.000000,520.500000,557.775024,436.413177,49110028
2011-12-01,570.000000,598.450012,557.200012,580.325012,454.056854,53522314
2012-01-01,580.500000,604.950012,522.650024,566.200012,443.005219,83449324
2012-02-01,564.700012,640.424988,554.125000,610.974976,480.687042,56845398
2012-03-01,611.500000,613.500000,555.900024,584.400024,459.779144,62311588
2012-04-01,585.000000,625.000000,523.825012,623.299988,490.383820,77519054
2012-05-01,625.000000,647.625000,597.049988,622.674988,489.892029,71222046
2012-06-01,620.000000,643.500000,598.099976,638.724976,502.519470,40116886
2012-07-01,639.500000,642.000000,587.599976,621.825012,495.560791,63937164
2012-08-01,619.049988,694.400024,609.049988,671.875000,538.087524,35416802
2012-09-01,675.000000,719.900024,630.549988,647.950012,518.926758,60426644
2012-10-01,647.500000,667.450012,527.500000,657.750000,526.775269,36891286
2012-11-01,657.450012,674.000000,628.025024,657.000000,528.592896,27664660
2012-12-01,657.500000,661.000000,598.500000,627.924988,505.200592,51445728
2013-01-01,633.474976,700.000000,627.650024,672.075012,540.721741,72807950
2013-02-01,672.000000,762.500000,671.075012,758.500000,613.047119,53279530
2013-03-01,757.549988,798.799988,745.500000,787.875000,636.789124,53438672
2013-04-01,782.500000,787.500000,682.500000,689.200012,557.036377,67258384
2013-05-01,689.200012,763.750000,686.750000,749.224976,605.550720,52107158
2013-06-01,752.000000,772.349976,690.349976,759.075012,613.511841,57602648
2013-07-01,756.000000,915.750000,732.500000,907.750000,746.906738,57188856
2013-08-01,905.025024,1025.000000,847.599976,1016.599976,840.257935,60835374
2013-09-01,1010.000000,1039.400024,947.025024,963.900024,796.699402,61485930
2013-10-01,966.000000,1129.430054,958.349976,1056.030029,872.848389,61919532
2013-11-01,1055.000000,1074.069946,985.000000,1002.169983,831.643005,36357132
2013-12-01,997.500000,1092.469971,991.525024,1086.030029,901.233765,40673516
2014-01-01,1090.050049,1192.400024,1073.619995,1120.530029,929.863403,66137366
2014-02-01,1111.000000,1140.000000,1042.550049,1137.880005,947.632263,45670390
2014-03-01,1135.900024,1149.500000,1005.700012,1066.569946,888.244873,64102864
2014-04-01,1072.500000,1132.000000,1050.000000,1094.599976,911.588501,50211136
2014-05-01,1094.599976,1126.699951,999.750000,1070.680054,891.667969,62287858
2014-06-01,1072.000000,1217.500000,1028.000000,1212.699951,1009.942627,47278736
2014-07-01,1209.449951,1307.180054,1167.500000,1290.030029,1095.163086,37681358
2014-08-01,1287.500000,1293.969971,1215.000000,1261.180054,1074.795410,37398676
2014-09-01,1262.699951,1391.219971,1257.050049,1368.300049,1166.084595,38972334
2014-10-01,1376.000000,1419.849976,1207.500000,1303.930054,1111.228149,52122622
2014-11-01,1324.500000,1345.949951,1275.500000,1321.500000,1130.763428,32515954
2014-12-01,1325.250000,1355.469971,1172.500000,1279.119995,1094.500244,44578912
2015-01-01,1283.500000,1299.949951,1203.719971,1241.030029,1061.907959,54205486
2015-02-01,1241.000000,1365.000000,1216.500000,1331.180054,1143.614014,50414346
2015-03-01,1339.849976,1406.050049,1250.500000,1276.969971,1097.042236,47499206
2015-04-01,1279.000000,1356.949951,1200.500000,1231.849976,1058.279785,57822976
2015-05-01,1231.849976,1324.300049,1226.849976,1305.150024,1121.251587,48810590
2015-06-01,1304.719971,1323.550049,1238.400024,1275.469971,1095.753540,43641462
2015-07-01,1281.949951,1323.449951,1227.500000,1255.380005,1098.734985,47457494
2015-08-01,1251.699951,1376.430054,1243.000000,1282.030029,1126.893066,52523858
2015-09-01,1278.000000,1321.849976,1245.000000,1294.030029,1137.441162,44310638
2015-10-01,1299.500000,1385.000000,1227.930054,1247.599976,1096.629639,59754614
2015-11-01,1250.000000,1273.900024,1166.250000,1186.780029,1052.305786,32573672
2015-12-01,1181.449951,1233.199951,1157.619995,1218.430054,1080.369507,41130386
2016-01-01,1219.500000,1219.500000,1121.500000,1195.650024,1060.170776,47374642
2016-02-01,1195.550049,1220.000000,1057.500000,1088.400024,969.751526,34424190
2016-03-01,1096.500000,1275.000000,1081.000000,1260.150024,1122.778564,42997674
2016-04-01,1252.500000,1276.750000,1201.150024,1267.750000,1129.550293,49196874
2016-05-01,1264.500000,1323.500000,1215.500000,1284.699951,1144.652710,33659726
2016-06-01,1285.599976,1338.849976,1229.199951,1276.550049,1137.391235,43850532
2016-07-01,1281.000000,1317.449951,1201.750000,1309.650024,1191.348022,52253628
2016-08-01,1316.000000,1372.400024,1233.380005,1255.650024,1148.160522,46041780
2016-09-01,1262.449951,1267.469971,1142.380005,1215.400024,1111.356201,51842742
2016-10-01,1225.000000,1228.819946,1145.500000,1199.349976,1096.679810,41500766
2016-11-01,1199.849976,1199.849976,1025.949951,1138.030029,1046.209351,54418020
2016-12-01,1138.500000,1189.300049,1072.819946,1182.780029,1087.348877,41661230
2017-01-01,1183.300049,1194.969971,1100.030029,1114.900024,1024.945435,59700074
2017-02-01,1110.000000,1277.500000,1076.500000,1233.119995,1140.112549,67284244
2017-03-01,1239.949951,1293.569946,1203.000000,1215.900024,1124.191406,47388540
2017-04-01,1217.500000,1224.500000,1126.400024,1136.569946,1050.844849,43460404
2017-05-01,1136.569946,1318.780029,1134.250000,1273.300049,1177.261963,51544820
2017-06-01,1265.000000,1354.469971,1161.550049,1181.180054,1092.089966,51191716
2017-07-01,1178.699951,1292.400024,1162.750000,1245.900024,1164.807495,45807876
2017-08-01,1250.000000,1274.949951,1230.050049,1248.180054,1170.227051,32619012
